epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.8033,1.63925,2.1652,1.41805,0.97962,0.59608,0.88407,0.55985,1.36851,2.0222,1.1248,0.000365329,0.000365329,0.000365329
2,16.4885,1.42775,1.01773,1.25899,0.9541,0.96852,0.94131,0.5853,1.35799,0.85414,1.15215,0.000728379,0.000728379,0.000728379
3,23.6597,1.33836,0.86314,1.21697,0.94501,0.96678,0.96181,0.54564,1.58313,0.8314,1.25002,0.0010841,0.0010841,0.0010841
4,30.789,1.31574,0.80786,1.20996,0.95356,0.96111,0.9438,0.61954,1.33306,0.72481,1.17715,0.001078,0.001078,0.001078
5,37.889,1.28259,0.75031,1.19588,0.94832,0.96852,0.9535,0.60609,1.36181,0.72398,1.17616,0.001067,0.001067,0.001067
6,45.0385,1.23518,0.69409,1.17219,0.96367,0.96852,0.96196,0.63322,1.26134,0.60764,1.19014,0.00105601,0.00105601,0.00105601
7,52.1258,1.21748,0.66029,1.16271,0.95307,0.96044,0.93833,0.60338,1.32388,0.62014,1.23136,0.00104501,0.00104501,0.00104501
8,59.2474,1.21652,0.63483,1.1777,0.95116,0.96111,0.94251,0.62663,1.25981,0.59846,1.19834,0.00103401,0.00103401,0.00103401
9,66.3321,1.19004,0.60515,1.1599,0.9698,0.97593,0.96109,0.62091,1.27025,0.60331,1.20968,0.00102301,0.00102301,0.00102301
10,73.463,1.18095,0.59079,1.1612,0.97011,0.97593,0.96481,0.61243,1.33141,0.60652,1.22063,0.00101201,0.00101201,0.00101201
11,80.6628,1.15653,0.569,1.15949,0.95955,0.96852,0.9501,0.633,1.23363,0.55529,1.17577,0.00100101,0.00100101,0.00100101
12,87.778,1.1724,0.5732,1.16285,0.96348,0.96765,0.96483,0.63397,1.32066,0.59093,1.26893,0.000990012,0.000990012,0.000990012
13,94.8819,1.14578,0.54708,1.14598,0.96989,0.97593,0.96453,0.61431,1.33813,0.55018,1.23368,0.000979013,0.000979013,0.000979013
14,102.016,1.14771,0.54067,1.1498,0.96247,0.96852,0.9547,0.63383,1.29416,0.54698,1.24657,0.000968014,0.000968014,0.000968014
15,109.115,1.12745,0.52527,1.143,0.9622,0.96852,0.95528,0.6502,1.25961,0.54606,1.19228,0.000957015,0.000957015,0.000957015
16,116.269,1.11805,0.52468,1.13838,0.96238,0.96852,0.96101,0.65493,1.25754,0.54391,1.21454,0.000946016,0.000946016,0.000946016
17,123.664,1.10783,0.51302,1.13537,0.96188,0.96852,0.9464,0.64452,1.22669,0.54579,1.19617,0.000935018,0.000935018,0.000935018
18,131.32,1.09657,0.5062,1.13087,0.96338,0.96852,0.95417,0.64733,1.23536,0.5238,1.20359,0.000924019,0.000924019,0.000924019
19,138.644,1.09477,0.49844,1.13391,0.96311,0.96852,0.96053,0.65382,1.22472,0.52492,1.20057,0.00091302,0.00091302,0.00091302
20,146.174,1.06705,0.48714,1.12747,0.97017,0.97593,0.97106,0.64712,1.27721,0.53599,1.24776,0.000902021,0.000902021,0.000902021
21,153.483,1.08178,0.48507,1.12928,0.97094,0.97593,0.96634,0.6478,1.23492,0.55252,1.23046,0.000891022,0.000891022,0.000891022
22,158.139,1.07613,0.48859,1.12094,0.97107,0.97593,0.96411,0.65583,1.22791,0.5041,1.21211,0.000880023,0.000880023,0.000880023
23,162.704,1.05148,0.47469,1.11321,0.96365,0.96852,0.96103,0.63004,1.29851,0.52878,1.26012,0.000869024,0.000869024,0.000869024
24,167.018,1.03297,0.46591,1.10516,0.97058,0.97593,0.97269,0.65839,1.24302,0.49757,1.1938,0.000858025,0.000858025,0.000858025
25,171.243,1.043,0.46727,1.11311,0.97199,0.97593,0.96829,0.64831,1.28807,0.50779,1.24438,0.000847026,0.000847026,0.000847026
26,175.484,1.02583,0.4581,1.10303,0.97048,0.97593,0.97189,0.65732,1.30301,0.54435,1.28193,0.000836027,0.000836027,0.000836027
27,179.656,1.0143,0.45521,1.09853,0.96351,0.96852,0.95483,0.65296,1.23659,0.51143,1.22033,0.000825029,0.000825029,0.000825029
28,183.872,1.00085,0.44422,1.09206,0.97049,0.97593,0.96696,0.6584,1.21648,0.49131,1.21756,0.00081403,0.00081403,0.00081403
29,187.983,1.02336,0.449,1.10766,0.97098,0.97593,0.96344,0.64902,1.25276,0.49309,1.24784,0.000803031,0.000803031,0.000803031
30,192.141,1.00442,0.44085,1.10032,0.9711,0.97593,0.97048,0.66325,1.23678,0.49293,1.2037,0.000792032,0.000792032,0.000792032
31,196.268,0.9793,0.43344,1.08143,0.96427,0.96852,0.94781,0.63255,1.28211,0.5054,1.25878,0.000781033,0.000781033,0.000781033
32,200.951,0.98087,0.43545,1.08687,0.96908,0.97593,0.97063,0.65767,1.23369,0.51782,1.21606,0.000770034,0.000770034,0.000770034
33,205.775,0.97222,0.43283,1.08151,0.97009,0.97593,0.96643,0.64634,1.24366,0.48345,1.23185,0.000759035,0.000759035,0.000759035
34,210.185,0.9598,0.42421,1.07586,0.96924,0.97593,0.96304,0.64422,1.27268,0.51004,1.231,0.000748036,0.000748036,0.000748036
35,214.479,0.95923,0.42428,1.07759,0.96964,0.97593,0.96944,0.64274,1.25984,0.50178,1.21828,0.000737037,0.000737037,0.000737037
36,218.781,0.96223,0.42173,1.07655,0.97115,0.97593,0.96982,0.65671,1.22988,0.49749,1.21922,0.000726038,0.000726038,0.000726038
37,223.067,0.94747,0.41666,1.07652,0.96492,0.96852,0.95356,0.64685,1.25741,0.51395,1.249,0.00071504,0.00071504,0.00071504
38,227.266,0.93753,0.41436,1.07363,0.97119,0.97593,0.96841,0.64173,1.29814,0.49962,1.24908,0.000704041,0.000704041,0.000704041
39,231.577,0.9374,0.41215,1.06487,0.96289,0.96852,0.95765,0.64917,1.27305,0.5091,1.25498,0.000693042,0.000693042,0.000693042
40,235.769,0.93223,0.41129,1.06662,0.9637,0.96852,0.96116,0.65343,1.26635,0.50438,1.24859,0.000682043,0.000682043,0.000682043
41,239.973,0.91246,0.40443,1.06269,0.96312,0.96852,0.95985,0.65375,1.26168,0.5031,1.27769,0.000671044,0.000671044,0.000671044
42,244.308,0.90596,0.40768,1.06305,0.96422,0.96852,0.95223,0.65894,1.24071,0.50809,1.27061,0.000660045,0.000660045,0.000660045
43,248.558,0.91226,0.405,1.06003,0.96506,0.96852,0.95604,0.66138,1.21253,0.4795,1.25119,0.000649046,0.000649046,0.000649046
44,252.791,0.90784,0.40156,1.05835,0.96446,0.96852,0.9541,0.66271,1.24212,0.48076,1.2563,0.000638047,0.000638047,0.000638047
45,256.988,0.89546,0.39654,1.0556,0.9628,0.96852,0.96463,0.65891,1.26309,0.49537,1.27354,0.000627048,0.000627048,0.000627048
46,261.228,0.89663,0.39876,1.05024,0.96431,0.96852,0.96337,0.66316,1.25182,0.48265,1.26907,0.000616049,0.000616049,0.000616049
47,265.364,0.89312,0.39436,1.05604,0.96293,0.96852,0.95777,0.66408,1.2262,0.48186,1.277,0.000605051,0.000605051,0.000605051
48,269.457,0.87691,0.38839,1.04813,0.96522,0.96852,0.964,0.66215,1.24686,0.48982,1.29099,0.000594052,0.000594052,0.000594052
49,273.593,0.86487,0.38657,1.04113,0.96974,0.97593,0.97439,0.64479,1.2996,0.49661,1.2722,0.000583053,0.000583053,0.000583053
50,277.763,0.86792,0.38647,1.03819,0.96294,0.96852,0.97248,0.6637,1.27823,0.49985,1.26845,0.000572054,0.000572054,0.000572054
51,282.199,0.85978,0.38337,1.03746,0.96376,0.96852,0.96674,0.67624,1.25077,0.47658,1.26991,0.000561055,0.000561055,0.000561055
52,286.42,0.85082,0.37926,1.03297,0.96524,0.96852,0.96826,0.67033,1.23787,0.46748,1.25527,0.000550056,0.000550056,0.000550056
53,290.692,0.84852,0.37707,1.04022,0.96322,0.96852,0.95517,0.65115,1.2681,0.49774,1.28997,0.000539057,0.000539057,0.000539057
54,294.907,0.83884,0.37127,1.03121,0.96475,0.96852,0.9686,0.67598,1.24703,0.47843,1.27569,0.000528058,0.000528058,0.000528058
55,299.037,0.83604,0.37258,1.02453,0.96242,0.96852,0.96779,0.66554,1.26373,0.4951,1.28757,0.000517059,0.000517059,0.000517059
56,303.155,0.83128,0.372,1.02805,0.96626,0.96852,0.9651,0.65748,1.25805,0.49698,1.27044,0.00050606,0.00050606,0.00050606
57,307.344,0.8234,0.36806,1.01962,0.9712,0.97593,0.97534,0.66065,1.25133,0.48103,1.2684,0.000495062,0.000495062,0.000495062
58,311.744,0.8169,0.36502,1.01458,0.96373,0.96852,0.96011,0.66214,1.25566,0.48338,1.27595,0.000484063,0.000484063,0.000484063
59,316.014,0.82273,0.3648,1.02308,0.97105,0.97593,0.96903,0.65945,1.26467,0.48564,1.29297,0.000473064,0.000473064,0.000473064
60,320.212,0.81371,0.36448,1.01631,0.97168,0.97593,0.96818,0.6663,1.23542,0.47776,1.27432,0.000462065,0.000462065,0.000462065
61,324.706,0.80424,0.3604,1.01281,0.97243,0.97593,0.97822,0.66339,1.30512,0.49692,1.30533,0.000451066,0.000451066,0.000451066
62,329.208,0.78808,0.3558,1.00488,0.97275,0.97593,0.97555,0.67092,1.26734,0.48226,1.28505,0.000440067,0.000440067,0.000440067
63,333.463,0.79604,0.35513,1.00846,0.9721,0.97593,0.97526,0.67013,1.25782,0.46758,1.28927,0.000429068,0.000429068,0.000429068
64,337.78,0.78877,0.35536,1.00664,0.97204,0.97593,0.9751,0.66889,1.2404,0.48923,1.26549,0.000418069,0.000418069,0.000418069
65,341.997,0.7935,0.35523,1.00923,0.96269,0.96852,0.95521,0.64191,1.29619,0.50489,1.31173,0.00040707,0.00040707,0.00040707
66,346.17,0.77933,0.35104,0.9989,0.97177,0.97593,0.97911,0.6494,1.33538,0.50727,1.3592,0.000396071,0.000396071,0.000396071
67,350.34,0.77105,0.34741,1.00057,0.96445,0.96852,0.95834,0.65577,1.28238,0.48829,1.31767,0.000385073,0.000385073,0.000385073
68,354.496,0.77033,0.34648,1.00151,0.96641,0.96852,0.9622,0.66278,1.26454,0.46921,1.2837,0.000374074,0.000374074,0.000374074
69,358.666,0.77739,0.34848,1.00391,0.96381,0.96852,0.95946,0.65172,1.29641,0.48514,1.31812,0.000363075,0.000363075,0.000363075
70,363.009,0.76925,0.34488,1.00527,0.96461,0.9672,0.96174,0.65648,1.2895,0.48209,1.31653,0.000352076,0.000352076,0.000352076
71,367.891,0.7549,0.33925,0.99497,0.9612,0.96852,0.96252,0.65541,1.27656,0.49211,1.30768,0.000341077,0.000341077,0.000341077
72,372.531,0.75691,0.34011,0.99653,0.96367,0.96852,0.95602,0.65503,1.28375,0.50269,1.32017,0.000330078,0.000330078,0.000330078
73,376.856,0.7475,0.33456,0.9906,0.96413,0.96711,0.96237,0.65852,1.28405,0.48737,1.31185,0.000319079,0.000319079,0.000319079
74,381.022,0.74702,0.33618,0.99539,0.9638,0.96852,0.95942,0.66145,1.27677,0.48051,1.31325,0.00030808,0.00030808,0.00030808
75,385.178,0.74055,0.33043,0.98752,0.96421,0.96852,0.9622,0.65686,1.28891,0.47847,1.32382,0.000297081,0.000297081,0.000297081
76,389.313,0.73419,0.3306,0.98536,0.96407,0.96852,0.958,0.65154,1.29353,0.48928,1.3212,0.000286083,0.000286083,0.000286083
77,393.556,0.73653,0.33199,0.98397,0.96486,0.96852,0.95941,0.648,1.28514,0.48137,1.33107,0.000275084,0.000275084,0.000275084
78,397.773,0.72884,0.32944,0.98257,0.96361,0.96852,0.96096,0.64441,1.29507,0.4817,1.3334,0.000264085,0.000264085,0.000264085
79,401.987,0.72657,0.32907,0.98091,0.96402,0.96693,0.95847,0.64284,1.31414,0.47969,1.35953,0.000253086,0.000253086,0.000253086
80,406.429,0.72425,0.32434,0.98335,0.96311,0.96852,0.96141,0.64617,1.3048,0.47925,1.34885,0.000242087,0.000242087,0.000242087
81,410.997,0.71526,0.32534,0.97538,0.96275,0.96852,0.96317,0.65038,1.28609,0.48244,1.33343,0.000231088,0.000231088,0.000231088
82,415.263,0.70926,0.32298,0.97934,0.96593,0.96537,0.96045,0.64829,1.30169,0.49683,1.35258,0.000220089,0.000220089,0.000220089
83,419.588,0.71032,0.32172,0.97573,0.97032,0.97593,0.96978,0.64402,1.28527,0.48662,1.34658,0.00020909,0.00020909,0.00020909
84,424.02,0.70998,0.32255,0.97186,0.9631,0.96822,0.96297,0.64681,1.315,0.49215,1.36641,0.000198091,0.000198091,0.000198091
85,428.298,0.70519,0.32008,0.97493,0.9648,0.96852,0.96189,0.65016,1.30983,0.48253,1.35288,0.000187092,0.000187092,0.000187092
86,432.514,0.68979,0.31483,0.96337,0.96486,0.96852,0.95669,0.6447,1.3068,0.48226,1.34603,0.000176094,0.000176094,0.000176094
87,436.636,0.69029,0.31422,0.96526,0.96275,0.96852,0.95777,0.64998,1.29575,0.47558,1.33995,0.000165095,0.000165095,0.000165095
88,440.829,0.69086,0.31305,0.9702,0.97244,0.9735,0.9699,0.6531,1.28964,0.47747,1.33694,0.000154096,0.000154096,0.000154096
89,444.994,0.68126,0.31277,0.96504,0.96467,0.96606,0.9612,0.64559,1.29975,0.49079,1.34616,0.000143097,0.000143097,0.000143097
90,449.39,0.68776,0.31346,0.96848,0.97357,0.97388,0.96895,0.65199,1.30551,0.49484,1.35574,0.000132098,0.000132098,0.000132098
91,468.699,0.6153,0.26946,0.9229,0.9674,0.96586,0.96078,0.64025,1.31276,0.48875,1.38004,0.000121099,0.000121099,0.000121099
