epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0398,1.86005,2.6242,1.77551,0.61933,0.38822,0.38381,0.05463,2.56161,2.92908,2.65358,0.000365329,0.000365329,0.000365329
2,32.8059,1.47766,1.45775,1.50201,0.71721,0.74051,0.72295,0.17332,2.4699,1.91226,2.25257,0.000713592,0.000713592,0.000713592
3,51.3637,1.40261,1.28804,1.43092,0.95171,0.95695,0.94136,0.48137,1.75282,1.04643,1.60443,0.00103964,0.00103964,0.00103964
4,69.7309,1.38977,1.22669,1.41771,0.95119,0.96684,0.94304,0.54826,1.52353,0.94977,1.4391,0.00101101,0.00101101,0.00101101
5,89.1602,1.3451,1.18715,1.39225,0.94686,0.96852,0.9471,0.56523,1.43372,0.91976,1.36664,0.00097768,0.00097768,0.00097768
6,104.082,1.30546,1.09257,1.36778,0.95421,0.93181,0.96374,0.55615,1.51245,0.8482,1.38136,0.00094435,0.00094435,0.00094435
7,115.372,1.29832,1.05162,1.35824,0.95448,0.96852,0.94333,0.43862,1.73207,0.9881,1.57052,0.00091102,0.00091102,0.00091102
8,133.814,1.28758,1.02178,1.35467,0.95612,0.96852,0.94719,0.53839,1.53579,0.78766,1.42712,0.00087769,0.00087769,0.00087769
9,153.098,1.26564,0.94906,1.33408,0.96215,0.96852,0.95375,0.52069,1.62914,0.76399,1.50059,0.00084436,0.00084436,0.00084436
10,171.581,1.25453,0.9246,1.32828,0.96369,0.96852,0.95161,0.59451,1.32989,0.73268,1.30817,0.00081103,0.00081103,0.00081103
11,186.736,1.24658,0.90364,1.32012,0.96042,0.96852,0.95203,0.6003,1.36219,0.65596,1.33472,0.0007777,0.0007777,0.0007777
12,197.238,1.23781,0.89076,1.31169,0.94057,0.96852,0.94934,0.61733,1.30913,0.74006,1.29393,0.00074437,0.00074437,0.00074437
13,207.803,1.25331,0.85218,1.31163,0.96003,0.96852,0.94737,0.55472,1.50536,0.73434,1.4017,0.00071104,0.00071104,0.00071104
14,218.576,1.23474,0.87203,1.31218,0.95726,0.96852,0.95177,0.61506,1.32861,0.65252,1.29999,0.00067771,0.00067771,0.00067771
15,232.92,1.2084,0.80283,1.29232,0.95575,0.96111,0.93349,0.56859,1.45858,0.64739,1.3999,0.00064438,0.00064438,0.00064438
16,251.142,1.20946,0.79509,1.29659,0.96725,0.97593,0.96339,0.61789,1.30109,0.61079,1.30163,0.00061105,0.00061105,0.00061105
17,269.544,1.20424,0.79126,1.2988,0.95946,0.96852,0.95244,0.57817,1.4679,0.64081,1.40424,0.00057772,0.00057772,0.00057772
18,288.257,1.19447,0.74842,1.28534,0.96184,0.96852,0.94218,0.48702,1.71376,0.73289,1.58878,0.00054439,0.00054439,0.00054439
19,307.111,1.19564,0.77252,1.2906,0.9582,0.96852,0.94902,0.58623,1.43452,0.62243,1.35695,0.00051106,0.00051106,0.00051106
20,325.818,1.18759,0.74807,1.28127,0.96214,0.96852,0.95342,0.63508,1.27053,0.56828,1.27405,0.00047773,0.00047773,0.00047773
21,345.571,1.10378,0.60907,1.22734,0.95991,0.96852,0.9463,0.54701,1.52334,0.6316,1.44533,0.0004444,0.0004444,0.0004444
22,361.966,1.10215,0.56847,1.23,0.96287,0.96852,0.95833,0.58964,1.47236,0.61209,1.3838,0.00041107,0.00041107,0.00041107
23,378.918,1.07355,0.54026,1.21122,0.95107,0.96111,0.94253,0.59734,1.43117,0.58199,1.37989,0.00037774,0.00037774,0.00037774
24,395.177,1.07876,0.52706,1.21416,0.95941,0.96852,0.95025,0.57683,1.48295,0.61465,1.40712,0.00034441,0.00034441,0.00034441
25,409.324,1.04954,0.49813,1.19816,0.96022,0.96852,0.95063,0.58184,1.47238,0.5859,1.39612,0.00031108,0.00031108,0.00031108
26,418.683,1.05275,0.49632,1.19928,0.96224,0.96852,0.95846,0.62451,1.32164,0.55734,1.31679,0.00027775,0.00027775,0.00027775
27,428.077,1.03375,0.48257,1.18905,0.96314,0.96852,0.95426,0.64137,1.2784,0.55209,1.28124,0.00024442,0.00024442,0.00024442
28,437.343,1.02394,0.47115,1.18586,0.96362,0.96852,0.9618,0.63693,1.35996,0.55088,1.31371,0.00021109,0.00021109,0.00021109
29,446.733,1.01734,0.45964,1.17961,0.96327,0.96852,0.95565,0.63413,1.31271,0.5389,1.30138,0.00017776,0.00017776,0.00017776
30,456.125,1.00733,0.4494,1.17151,0.95614,0.96111,0.94311,0.63906,1.29125,0.53033,1.28138,0.00014443,0.00014443,0.00014443
